component_id,Count
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
9,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,2
21,1
22,1
23,1
24,4
26,1
33,2
34,2
35,2
36,2
37,1
38,1
39,1
40,1
42,2
43,3
45,1
46,1
47,1
48,1
49,1
52,1
53,1
55,1
56,1
57,2
58,1
59,1
60,1
64,1
65,1
66,1
67,4
68,2
69,1
70,1
71,1
76,1
77,1
78,1
79,2
80,1
81,1
82,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
93,1
94,1
95,10
97,1
98,1
99,1
100,1
101,1
102,1
103,2
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,2
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
187,2
188,2
189,2
190,2
191,1
192,2
193,2
194,2
199,1
200,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
215,1
216,1
217,1
218,1
219,1
220,2
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,2
234,2
235,2
236,1
243,2
246,2
247,2
248,1
249,6
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
265,1
266,1
267,1
268,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,2
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,3
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
299,1
300,1
301,1
302,1
303,1
304,1
305,6
306,10
308,2
309,1
310,1
311,4
312,1
313,1
314,1
315,1
316,2
317,1
318,1
319,1
320,1
321,3
322,1
323,1
324,2
325,1
326,1
327,1
328,1
329,1
330,2
331,1
332,1
333,1
334,1
335,1
336,1
339,2
340,2
341,1
342,2
343,2
344,2
345,2
346,2
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,2
357,1
358,1
359,1
360,1
361,1
362,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
400,1
401,1
402,1
403,1
405,1
406,1
407,1
408,1
409,1
410,1
412,1
413,1
414,1
415,1
416,2
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
466,1
467,1
468,1
469,1
471,1
473,1
474,11
475,1
476,1
477,1
478,1
480,3
481,1
482,1
483,1
484,2
485,2
486,2
487,1
488,1
489,1
491,1
492,1
493,1
494,1
495,1
496,1
497,2
498,1
499,2
500,3
501,1
502,1
503,1
504,1
505,1
506,2
508,2
509,1
510,2
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,2
523,1
524,1
526,1
527,1
528,1
529,1
530,1
531,2
532,1
533,1
534,1
535,1
537,1
538,1
539,1
540,1
541,2
542,1
543,1
544,1
545,1
546,1
547,2
550,1
551,2
553,2
554,1
555,1
556,1
557,1
559,1
560,1
561,1
562,2
563,1
564,1
565,2
567,1
568,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,2
578,1
579,1
580,1
581,1
582,1
583,1
585,1
586,2
587,1
588,2
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,2
598,1
599,1
600,1
601,1
602,1
603,1
604,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,2
615,1
616,1
617,1
618,1
619,1
620,1
622,1
625,1
627,1
628,1
629,1
631,1
633,2
634,1
635,1
636,1
637,2
638,1
639,2
640,1
641,1
643,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
655,1
656,1
657,2
658,1
659,1
660,4
661,4
662,1
663,2
664,1
665,1
666,1
667,1
668,1
669,2
670,1
671,2
672,1
673,2
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,2
683,1
684,1
685,2
686,1
687,1
688,1
690,1
694,11
695,1
696,2
697,1
698,1
699,2
700,1
701,1
702,1
703,1
704,1
705,4
706,1
707,1
708,1
710,1
711,1
712,2
713,2
714,1
715,1
716,1
717,1
718,1
719,1
720,2
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
730,1
733,2
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,2
742,1
744,1
745,1
746,1
748,1
749,2
751,1
752,2
753,1
754,1
755,1
756,1
759,1
760,1
762,1
763,1
764,1
765,1
766,1
769,1
770,1
771,1
772,1
773,1
774,4
775,4
777,2
778,1
779,1
780,1
781,2
782,1
785,1
786,1
788,1
789,1
790,1
791,1
792,1
793,2
796,1
797,1
798,1
799,1
800,1
801,2
802,1
803,1
804,1
805,2
806,1
808,1
809,2
810,4
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
824,1
825,1
826,1
827,1
829,1
830,1
831,1
832,2
833,1
834,4
835,1
836,1
837,2
838,1
840,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,2
853,1
854,2
855,1
856,1
857,1
858,1
860,2
861,1
862,1
863,1
864,1
865,1
866,2
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,3
876,2
877,1
878,1
880,1
882,1
883,2
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
903,2
904,1
905,1
906,1
907,1
908,1
911,1
912,1
913,1
914,1
915,1
916,3
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
