__id,component_id
0,6653
1,16133
2,8079
3,12878
4,18190
5,2169
6,10621
7,1588
8,2234
9,10898
10,1663
11,18322
12,13128
13,8657
14,13798
15,6708
16,4469
17,18130
18,6933
19,15702
20,15422
21,4356
22,17586
23,3917
24,18026
25,12852
26,9104
27,2300
28,11255
29,2227
30,4545
31,8453
32,11555
33,2297
34,3929
35,7734
36,4479
37,6720
38,6934
39,16198
40,5883
41,15413
42,16159
43,6557
44,18444
45,12454
46,8392
47,2308
48,7636
49,4094
50,641
51,11102
52,1747
53,9171
54,13619
55,17902
56,3972
57,18505
58,4586
59,8338
60,15106
61,6867
62,6943
63,3761
64,15958
65,4008
66,18382
67,4516
68,6579
69,11008
70,2222
71,11493
72,11453
73,1559
74,11556
75,8761
76,6510
77,16760
78,6051
79,16085
80,12324
81,15324
82,15651
83,6584
84,17101
85,13064
86,9203
87,688
88,7785
89,3657
90,17552
91,10872
92,2274
93,11557
94,13387
95,18323
96,2314
97,11328
98,13640
99,18495
100,13884
101,15214
102,16035
103,6930
104,15800
105,6466
106,6510
107,3670
108,8971
109,4565
110,1628
111,10826
112,17695
113,1816
114,11332
115,1077
116,10393
117,18301
118,4626
119,9153
120,13413
121,9201
122,13675
123,6626
124,6579
125,16132
126,9030
127,13319
128,18331
129,13736
130,9080
131,12941
132,11540
133,2142
134,9858
135,8661
136,1933
137,11475
138,13853
139,18388
140,13834
141,16186
142,15468
143,6058
144,15311
145,6357
146,6883
147,15993
148,8245
149,4621
150,17773
151,10479
152,17091
153,13142
154,11373
155,1284
156,11438
157,18205
158,4568
159,9224
160,11543
161,17027
162,4100
163,8280
164,15523
165,5110
166,5901
167,4556
168,6172
169,14363
170,9162
171,13700
172,9922
173,13153
174,9922
175,2090
176,8404
177,11349
178,1675
179,11154
180,13698
181,8220
182,13755
183,6618
184,4549
185,18488
186,6130
187,16101
188,15708
189,4086
190,18025
191,4610
192,7422
193,3042
194,17811
195,8280
196,762
197,11510
198,12827
199,18240
200,10285
201,18278
202,4093
203,9072
204,4524
205,6775
206,6578
207,16088
208,6688
209,14460
210,15282
211,12759
212,18011
213,13802
214,11547
215,2195
216,9211
217,11153
218,2185
219,11184
220,13733
221,9206
222,13469
223,17581
224,13831
225,8777
226,13787
227,6679
228,6614
229,15348
230,16106
231,13681
232,15176
233,6937
234,16665
235,9042
236,9042
237,10137
238,2196
239,11076
240,11572
241,2160
242,11546
243,8431
244,4590
245,17583
246,13500
247,16167
248,13681
249,9042
250,15246
251,6123
252,5782
253,12264
254,9210
255,13222
256,12829
257,15837
258,15999
259,6916
260,5140
261,13524
262,8697
263,13028
264,9160
265,2928
266,18478
267,11518
268,1896
269,11315
270,12851
271,18466
272,11307
273,18297
274,3938
275,9126
276,15932
277,6783
278,6758
279,15691
280,6892
281,14640
282,15407
283,13841
